

gen best mean std
0 92.058736 9.593093 30.092756
1 91.968788 45.852019 34.596306
2 91.968788 69.435297 22.395366
3 92.53704 79.634058 14.484948
4 92.740414 82.355417 12.757276
5 92.658736 85.939745 10.431271
6 92.740414 86.929365 8.99289
7 92.682547 89.037768 7.423466
8 92.77505 90.988088 4.817523
9 93.327729 91.599173 1.856382
10 93.327729 91.341011 2.894645
11 92.766278 91.656326 1.880252
12 93.012614 91.640144 1.825167
13 92.932142 91.545459 2.34829
14 93.327729 91.777302 0.78968
15 93.327729 91.889311 0.24919
16 92.932142 91.825891 0.661532
17 93.327729 91.752311 1.68871
18 93.052892 91.573999 2.35493
19 93.052892 91.744337 1.68545
