

gen best mean std
0 57.16227 -2.364332 8.262461
1 57.191858 -0.013905 9.972734
2 57.16227 3.878983 14.225729
3 57.191858 7.444062 13.623047
4 57.16227 10.695092 11.050881
5 57.16227 14.411723 11.73188
6 57.16227 16.354502 12.190481
7 57.21004 19.178178 14.058113
8 57.21004 22.828048 16.158596
9 57.319827 23.866486 15.803257
10 57.266659 22.974705 15.42006
11 57.266659 27.620036 18.107136
12 66.16227 31.97924 18.467106
13 66.094638 27.163865 17.162886
14 66.094638 27.076899 16.982532
15 57.266659 29.470608 18.108147
16 66.094638 27.299303 16.626368
17 75.059829 26.95937 15.122453
18 66.094638 29.999782 16.44211
19 75.059829 30.177953 17.616865
