

gen best mean std
0 87.139358 1.173288 22.001638
1 87.139358 9.059936 31.622348
2 87.14227 20.835498 38.878228
3 87.531858 42.816216 42.808173
4 87.811965 61.156013 36.894701
5 87.811965 84.161112 10.211827
6 88.362264 86.65501 0.501953
7 89.943229 86.695853 0.54686
8 90.866611 86.667532 1.321873
9 89.943229 86.524412 2.110904
10 90.086611 86.804371 0.630075
11 90.086611 86.819956 0.613623
12 89.943229 86.792946 0.625044
13 89.59505 86.70474 2.19322
14 90.206611 86.93335 0.773027
15 90.206611 86.910968 0.668175
16 90.199361 86.985888 0.802794
17 90.079361 86.471329 4.957882
18 90.199361 86.976439 3.166976
19 90.206611 87.318036 1.188775
